,Public Food Key,Classification,Food Name,Total calories(kcal),Protein,Total Fat,Total dietary fibre,Alcohol,Total sugars,Carbohydrates,Sodium (Na),Saturated fatty acids,Monounsaturated fatty acids,Polyunsaturated fatty acids,Trans fatty acids,Cholesterol,Categories,Food Description
403,F002478,19401,"Cheese, parmesan, dried, finely grated",465.82,40.60,33.30,0.00,0.00,0.00,0.00,1300.00,66.90,30.30,3.00,3.10,88.00,"Cheese, hard cheese ripened styles","Parmesan-style cheese, prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is finely grated prior to sale and some additional moisture may be removed, so that the cheese does not generally require refrigerator storage."
404,F002479,19401,"Cheese, parmesan, fresh",403.92,35.10,28.80,0.00,0.00,0.00,0.00,1300.00,66.90,30.30,3.54,3.10,77.00,"Cheese, hard cheese ripened styles","A hard granular cheese prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is shaved or coarsely grated prior to sale so that it is moister than finely grated parmesan cheese and requires refrigerator storage."
405,F002488,19403,"Cheese, ricotta",158.94,10.40,11.80,0.00,0.00,2.70,2.70,170.00,69.30,24.80,2.52,2.10,50.00,"Cheese, unripened styles, including cream and cottage cheese, regular fat",Australian produced ricotta cheese. Prepared by collecting the whey from the coagulation of cows milk and further separation and draining.
406,F002494,20301,"Cheese, soy",294.93,7.00,28.00,0.60,0.00,1.80,4.70,685.00,14.30,24.40,60.60,2.00,0.00,Cheese substitute,Cheese substitute produced using soy bean curd and other ingredients such as salt and thickeners. Includes hard and 'cream cheese' varieties.
407,F003270,19301,"Cream, thickened, regular fat (approximately 35%)",336.76,2.00,36.10,0.00,0.00,2.40,2.40,27.00,68.25,25.50,3.99,5.50,110.00,"Cream, regular and increased fat","Australian produced thickened cream with a fat content of 35%. Major ingredients include cream, gelatine and vegetable gum. Produced by separating milk into a highly concentrated milk fat stream (cream) and a non-milk fat stream (skim milk) and adding thickener to increase the viscosity."
408,F003255,19305,"Cream, imitation (non-dairy)",264.82,1.00,21.80,0.00,0.00,16.30,17.70,57.00,94.20,5.30,0.40,1.50,0.00,"Cream substitute, artificial cream ","Commercially produced soft product with a creamy appearance and texture that is commonly used in baked goods in place of whipped dairy cream, but which is not dairy-based."
409,F003269,19303,"Cream, sour, regular fat",337.95,1.90,36.30,0.00,0.00,2.00,2.00,19.00,68.40,25.30,2.30,4.00,91.00,"Cream, sour ",Commercially produced Australian sour cream with a fat content of approximately 35% Prepared by culturing cream or milk with lactic acid bacteria resulting in the sour flavour.
410,F003267,19304,"Cream, sour, light (approximately 18% fat)",207.46,3.60,19.70,0.00,0.00,4.50,4.50,19.00,68.40,25.30,2.30,4.00,91.00,"Cream, sour, reduced fat",Commercially produced Australian sour cream with a fat content of approximately 18%. Prepared by culturing a combination of cows milk cream and milk with lactic acid bacteria resulting in the sour flavour and decreased fat content compared to regular sour cream.
411,F004508,19501,"Ice cream, vanilla flavour, regular fat",188.34,3.70,10.60,0.00,0.00,18.40,20.50,48.00,71.50,25.00,2.80,3.10,35.00,"Ice cream, tub varieties, fat content >10 g/100 g","Commercial product prepared by mixing milk, sugar, gums, emulsifiers and vanilla flavour, then freezing rapidly with agitation to aerate the ice cream to give it a light texture. Includes varieties with a fat content of 11%. Some analysed samples contain egg yolk."
412,F004419,19505,"Ice confection, stick, milk-based, various flavours",134.08,2.90,5.30,0.20,0.00,19.80,19.80,40.00,71.50,25.00,2.80,3.10,12.00,"Ice cream, individual bar, stick and cone varieties, fat content 4 - 10 g/100 g","Frozen flavoured ice confection typically made from sugar, skim milk/solids, whey and vegetable gums, sold on a stick. Include strawberry, banana and rainbow flavours."
413,F004421,27303,"Ice confection, stick, water-based, various flavours",66.92,0.20,0.00,0.00,0.00,17.10,17.10,6.00,0.00,0.00,0.00,0.00,0.00,"Water ice confection, gelato, sorbet ","Frozen water based ice confection made from sugar, food acid, vegetable gum, flavour and colour, sold on a stick."
414,F004415,27303,"Ice confection, stick or tub, fruit juice or fruit flavoured",73.14,0.20,0.10,0.00,0.00,18.70,18.70,6.00,0.00,0.00,0.00,0.00,0.00,"Water ice confection, gelato, sorbet ","Frozen fruit juice or fruit flavoured ice confection. typically made from sugar and fruit juices such as lemon, pineapple, passionfruit and orange. Frozen prior to sale and sold on a stick or in a tube. One of four samples does not contain fruit juice."
415,F005634,19101,"Milk, cow, fluid, regular fat (3.5% fat)",67.16,3.40,3.40,0.00,0.00,6.00,6.00,35.00,67.79,27.47,2.76,3.50,10.00,"Milk, cow, fluid, regular whole, full fat ",Australian produced regular fat cows milk. Supplied with a minimum fat content of 3.2 g milk fat/100 g.
416,F005635,19102,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",60.47,3.10,3.20,0.00,0.00,5.10,5.10,40.00,68.90,26.70,4.05,2.00,5.00,"Milk, cow, fluid, regular whole, full fat, fortified",Australian produced regular fat cows milk to which sources of omega-3 fatty acids are added. Supplied with fat content of approximately 3.4%.
417,F005614,19103,"Milk, cow, fluid, reduced fat (1% fat)",45.65,3.60,1.20,0.00,0.00,5.00,5.00,36.00,69.45,25.75,2.80,3.20,5.00,"Milk, cow, fluid, reduced fat, <2 g/100g ",Australian produced reduced fat cows milk. Supplied with fat content of approximately 1%.
418,F005621,19104,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",50.91,4.50,1.40,0.00,0.00,5.10,5.10,40.00,36.05,55.52,8.38,1.10,5.00,"Milk, cow, fluid, reduced fat, <2 g/100g, fortified","Australian produced reduced fat cows milk. Supplied with a fat content of approximately 1.5%, with added sources of omega-3 fatty acids."
419,F005637,19105,"Milk, cow, fluid, skim (0.15% fat)",34.89,3.60,0.00,0.00,0.00,5.30,5.30,38.00,67.87,26.47,3.73,2.00,3.00,"Milk, cow, fluid, skim, non-fat ",Australian produced cows skim milk. Supplied with a maximum fat content of 0.15%.
420,F005638,19105,"Milk, cow, fluid, skim (0.15% fat), added milk solids",41.35,4.20,0.00,0.00,0.00,6.30,6.30,46.00,0.00,0.00,0.00,0.00,3.00,"Milk, cow, fluid, skim, non-fat ",Australian produced cows skim milk to which extra milk solids are added to increase calcium and protein content. Supplied with a maximum fat content of 0.15%.
421,F005599,19101,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",59.27,3.10,3.20,0.00,0.00,4.50,4.70,35.00,71.30,22.60,2.50,0.20,11.00,"Milk, cow, fluid, regular whole, full fat ",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 3.5%.
422,F005598,19103,"Milk, cow, fluid, lactose free, reduced fat (1% fat)",43.74,3.40,1.20,0.10,0.00,4.80,5.00,41.00,71.30,22.60,2.50,0.20,5.00,"Milk, cow, fluid, reduced fat, <2 g/100g ",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 1%.
423,F005581,19106,"Milk, cow, canned, evaporated, regular",141.25,7.70,8.20,0.00,0.00,10.00,10.00,104.00,67.87,26.47,3.73,2.00,24.00,"Milk, evaporated or condensed, undiluted ",Canned milk prepared by evaporating approximately 60% of the water content of regular fat cows milk prior to sterilisation.
424,F005580,19106,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",91.06,7.90,2.10,0.00,0.00,10.60,10.60,104.00,67.87,26.47,3.73,2.00,10.00,"Milk, evaporated or condensed, undiluted ",Canned milk prepared by evaporating approximately 60% of the water content of regular fat and skim cows milk prior to sterilisation. Formulated to have a fat content of 2%.
425,F005582,19106,"Milk, cow, canned, sweetened, condensed, regular",325.53,8.30,9.20,0.00,0.00,55.00,55.00,106.00,69.40,25.04,2.50,3.50,31.00,"Milk, evaporated or condensed, undiluted ",Milk product prepared by adding sugar to regular fat cows milk prior to evaporation of approximately 50% of the water content. Includes both canned and tube varieties.
426,F005650,19107,"Milk, powder, cow, regular fat, unfortified",508.37,25.30,27.30,0.00,0.00,43.00,43.00,310.00,70.80,23.40,2.60,2.00,110.00,"Milk, powder, cow, dry","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. May also contain lecithin."
427,F005649,19107,"Milk, powder, cow, regular fat, added vitamins A & D",508.37,25.30,27.30,0.00,0.00,43.00,43.00,310.00,70.80,23.40,2.60,2.00,110.00,"Milk, powder, cow, dry","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. Contains added vitamins A and D. May also contain lecithin."
428,F005652,19107,"Milk, powder, cow, skim",363.05,34.90,0.80,0.00,0.00,56.00,56.00,420.00,67.70,23.80,6.50,2.00,29.00,"Milk, powder, cow, dry","Cows skim milk powder, prepared by removing the majority of water from regular fat cows milk by spray drying."
429,F005647,32102,"Milk, human/breast, mature, fluid",68.36,1.30,4.20,0.00,0.00,6.80,6.80,17.00,47.89,34.73,11.55,2.50,14.00,Human breast milk,Mammary secretion of human mothers.
430,F003442,19602,"Custard, vanilla, regular fat",93.69,3.30,3.00,0.00,0.00,11.60,13.90,61.00,69.40,25.04,2.50,3.50,11.00,"Custard, fat content <4 g/100 g","Commercially produced regular fat vanilla flavoured custard. Major ingredients include regular fat milk, sugar, flavour and thickener. Custard does not contain eggs."
431,F003426,12103,"Custard powder, vanilla, dry mix",337.00,0.50,0.40,0.50,0.00,0.40,81.50,392.00,0.00,0.00,0.00,0.00,0.00,Cereal flours and starches,"Dry yellow powder used for making custard. Ingredients include cornflour, salt, colours and flavours."
432,F003441,19602,"Custard, vanilla, prepared from dry mix",105.40,3.70,3.70,0.00,0.00,10.30,14.60,59.00,0.00,0.00,0.00,0.00,11.00,"Custard, fat content <4 g/100 g",Vanilla custard prepared from commercial vanilla custard powder according to packet instructions.
433,F003488,19701,"Dairy or yoghurt dessert, chocolate, regular fat",124.76,5.10,3.70,1.40,0.00,15.70,17.70,59.00,66.90,27.42,2.67,3.50,10.00,"Dairy desserts, smooth or gelatin-based dairy desserts ","Commercially prepared, dairy product flavoured with chocolate and intended for use as a child's dessert. Typical ingredients include milk, sugar, cocoa, vegetable gums, salt, thickeners, emulsifiers and flavours."
434,F009694,19201,"Yoghurt, natural, regular fat (3% fat)",72.90,5.10,3.20,0.10,0.00,4.90,5.00,58.00,71.90,22.80,2.70,2.00,15.00,"Yoghurt, natural, regular fat and high fat (>4 g/100g fat)","Unflavoured (natural) yoghurt. Prepared by pasteurising and homogenising milk of various fat levels before culturing, resulting in a thickened, tangy yoghurt. Contains added milk powder. Formulated to have a fat content of approximately 4%. Does not contain fruit or flavouring."
435,F009608,19205,"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",92.02,4.20,3.20,0.10,0.00,11.10,11.10,65.00,68.27,25.47,4.17,2.00,8.00,"Yoghurt, flavoured or added fruit, full fat ","Yoghurt with apricot pieces or flavour and added sugar. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 3%."
436,F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",95.60,4.70,3.10,0.10,0.00,11.60,11.60,60.00,68.27,25.47,4.17,2.00,10.00,"Yoghurt, flavoured or added fruit, full fat ","Yoghurt with strawberry pieces or flavour and added sugar. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 3%."
437,F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",97.28,5.00,1.90,0.20,0.00,13.50,14.50,52.00,71.20,21.80,3.30,0.20,8.00,"Yoghurt, flavoured or added fruit, full fat ","Yoghurt that is sweetened and flavoured with vanilla. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 2%."
438,F009752,19208,"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",87.24,5.80,0.50,0.20,0.00,12.70,13.90,66.00,71.20,21.80,3.35,0.20,6.00,"Yoghurt, flavoured or added fruit, low fat or skim, sugar sweetened ","Low fat yoghurt that is sweetened and flavoured with vanilla. Prepared by culturing low fat milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of <0.5%."
439,F006132,20106,"Oat beverage, fluid, unfortified",53.06,1.30,0.80,0.30,0.00,3.10,10.20,38.00,21.50,46.60,30.60,0.00,0.00,Cereal- or nut-based milk substitute,"A dairy milk substitute made from filtered water, oats, sunflower oil and salt, without added vitamins and minerals."
440,F006131,20106,"Oat beverage, fluid, added calcium",53.06,1.30,0.80,0.30,0.00,3.10,10.20,38.00,21.50,46.60,30.60,0.00,0.00,Cereal- or nut-based milk substitute,"A dairy milk substitute made from filtered water, oats, sunflower oil and salt. Contains added calcium."
441,F007632,20106,"Rice beverage, fluid, added calcium",60.95,0.30,1.00,0.00,0.00,3.70,12.70,62.00,17.30,49.10,32.80,2.20,0.00,Cereal- or nut-based milk substitute,"A dairy milk substitute made from filtered water, brown rice, sunflower oil and salt. Contains added calcium."
442,F008721,20101,"Soy beverage, regular fat (3% fat), unfortified",57.60,3.70,2.70,0.60,0.00,2.60,4.60,44.00,17.40,22.40,60.00,0.90,0.00,"Soy-based beverage, plain","A dairy milk substitute prepared from soy beans with a fat content of 3%. Does not contain added vitamins, minerals or artificial flavouring substances."
443,F008719,20102,"Soy beverage, regular fat (3% fat), added Ca",57.60,3.70,2.70,0.60,0.00,2.60,4.60,44.00,17.40,22.40,60.00,0.90,0.00,"Soy-based beverage, plain, fortified",A dairy milk substitute prepared from soy beans with a fat content of 3%. Contains added calcium.
444,F008720,20102,"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",59.03,4.10,2.70,0.60,0.00,2.60,4.60,44.00,17.40,22.40,60.00,0.90,0.00,"Soy-based beverage, plain, fortified","A dairy milk substitute prepared from soy beans with a fat content of 3%. Contains added calcium and vitamins A, B1, B2 and B12."
445,F008704,20104,"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",43.50,3.00,0.90,0.60,0.00,1.70,5.70,45.00,17.40,22.40,60.00,0.90,0.00,"Soy-based beverage, plain, reduced fat, fortified","A dairy milk substitute prepared from soy beans with a reduced fat content of ~1%. Contains added calcium, potassium, magnesium, vitamins A, B1, B2 and B12."
446,F008155,20601,"Sausage, vegetarian style, unfortified, raw",190.01,19.00,9.40,1.50,0.00,1.90,7.40,600.00,9.85,64.25,24.30,0.20,0.00,Meat substitutes,"Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Does not contain added vitamins or minerals."
447,F008151,20601,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",190.01,19.00,9.40,1.50,0.00,1.90,7.40,600.00,9.85,64.25,24.30,0.20,0.00,Meat substitutes,"Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Contains added iron, zinc and vitamin B12."
448,F008153,20601,"Sausage, vegetarian style, fried, no added fat",200.05,20.00,9.90,1.60,0.00,2.00,7.80,632.00,0.00,0.00,0.00,0.00,0.00,Meat substitutes,"Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. May contain added iron, zinc and vitamin B12. Cooked by frying with out added fat."
449,F009176,20601,"Tofu (soy bean curd), firm, as purchased",113.29,12.00,7.30,3.50,0.00,0.00,0.00,40.00,14.30,24.40,60.60,0.00,0.00,Meat substitutes,"Commercially prepared soy bean extract, that has set to a firm texture. Ingredients include water, soy beans, glucono-delta lactone, and nigari (magnesium chloride)."
450,F009738,20501,"Yoghurt, soy based, berry flavoured, regular fat (3% fat)",99.19,3.70,3.70,0.20,0.00,8.40,12.60,55.00,14.30,44.70,41.00,0.00,0.00,"Soy-based yoghurts, regular fat","Yoghurt-style sweet product based on soy milk rather than dairy milk, with added berry flavour and formulated to have a fat content of approximately 3%.."
451,F009739,20502,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",73.37,3.70,0.80,0.20,0.00,8.40,12.60,55.00,14.30,44.70,41.00,0.00,0.00,"Soy-based yoghurts, reduced fat","Yoghurt-style sweet product based on soy milk rather than dairy milk, with added vanilla flavour and formulated to have a fat content of approximately 1%."
452,F001973,14101,"Butter, plain, salted",723.47,1.10,81.30,0.00,0.00,0.00,0.00,776.00,69.58,20.92,1.94,6.20,167.00,Butter,"A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Contains added salt."
453,F001971,14101,"Butter, plain, no added salt",723.47,1.10,81.30,0.00,0.00,0.00,0.00,10.00,69.58,20.92,1.94,6.20,167.00,Butter,"A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Does not contain added salt."
454,F004205,14102,"Ghee, clarified butter",884.56,0.30,99.90,0.00,0.00,0.00,0.00,2.00,69.58,24.92,1.92,6.20,290.00,Butter products,"Indian-style clarified butter containing at least 99.7% milk fat, used mainly in cooking."
455,F003466,14201,"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g",696.70,0.50,78.10,0.00,0.00,0.60,1.00,611.00,45.66,39.98,13.48,3.20,150.00,"Dairy blend, regular, fat content ? 65g/100g","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil, with a fat content of approximately 80%. Contains added salt and vitamins A and D."
456,F003464,14201,"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)",696.70,0.50,78.10,0.00,0.00,0.60,1.00,410.00,47.80,37.80,12.00,1.30,150.00,"Dairy blend, regular, fat content ? 65g/100g","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil with a fat content of approximately 80%. Contains a lower salt content than regular dairy blend and added vitamins A and D."
457,F005370,14301,"Margarine spread, polyunsaturated (70% fat)",609.94,0.00,69.00,0.00,0.00,0.00,0.00,562.00,22.44,32.67,45.50,0.20,0.00,"Polyunsaturated margarine spreads, fat content ? 65g/100g","A polyunsaturated edible oil spread containing approximately 70% fat, the majority of which are polyunsaturated edible oils (including sunflower oil). Contains added salt and vitamins A and D."
458,F005373,14301,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",630.02,1.00,70.80,0.00,0.00,0.00,0.00,283.00,25.62,30.04,44.72,0.30,0.00,"Polyunsaturated margarine spreads, fat content ? 65g/100g",A polyunsaturated edible oil spread containing approximately 70% polyunsaturated edible oils (including sunflower oil). Formulated to have a reduced salt content. Contains added vitamins A and D.
459,F005322,14303,"Margarine spread, monounsaturated (80% fat), rice bran oil, unfortified",717.73,0.30,81.00,0.00,0.00,0.00,0.00,580.00,28.25,40.00,30.96,0.90,0.00,"Monounsaturated margarine spreads, fat content ?65 g/100g","A monounsaturated edible oil spread containing approximately 80% rice bran oil. Contains added salt, but does not contain added vitamins or minerals."
460,F005319,14306,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",674.00,0.70,75.90,0.00,0.00,0.00,0.00,356.00,22.90,50.50,26.00,0.70,0.00,Margarine spreads with added phytosterols,"A monounsaturated edible oil spread containing approximately 70% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D and phytosterols."
461,F005309,14303,"Margarine spread, monounsaturated (greater than 65% fat)",597.51,0.50,67.30,0.00,0.00,0.00,0.00,795.00,23.10,50.18,26.00,0.90,0.00,"Monounsaturated margarine spreads, fat content ?65 g/100g","A monounsaturated edible oil spread containing approximately 65%  or more edible oils including canola oil, olive oil or blends of monounsaturated oils. Contains added salt and vitamins A and D."
462,F005310,14303,"Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)",613.05,1.00,68.90,0.00,0.00,0.00,0.00,362.00,24.05,51.15,24.43,0.90,0.00,"Monounsaturated margarine spreads, fat content ?65 g/100g","A monounsaturated edible oil spread containing approximately 65% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D."
463,F005352,14304,"Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)",459.37,1.00,51.50,0.00,0.00,0.00,0.00,338.00,23.40,50.70,24.90,1.50,0.00,"Monounsaturated margarine spreads,fat content <65 g/100g","A monounsaturated edible oil spread containing approximately 55% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D"
464,F005345,14304,"Margarine spread, monounsaturated, reduced fat (less than 65% fat)",559.75,0.50,63.10,0.00,0.00,0.00,0.00,592.00,22.75,52.98,22.62,0.90,0.00,"Monounsaturated margarine spreads,fat content <65 g/100g","A monounsaturated edible oil spread containing <65% edible oils including canola oil, olive oil or blends of monounsaturated oils. Contains added salt and vitamins A and D."
465,F005361,14304,"Margarine spread, olive oil blend (65% fat), reduced salt (sodium 360mg/100 g)",575.29,1.00,64.60,0.00,0.00,0.00,0.00,355.00,26.42,44.58,28.36,0.90,0.00,"Monounsaturated margarine spreads,fat content <65 g/100g",A monounsaturated edible oil spread containing approximately 65% monounsaturated olive oil. Formulated to have a reduced salt content. Contains added vitamins A and D.
466,F006154,14402,"Oil, almond",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,6.30,68.20,25.40,1.80,0.00,Monounsaturated oils ,Edible oil extracted from the almond (Prunus amygdalus).
467,F006155,14402,"Oil, blend of monounsaturated vegetable oils",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,7.20,60.55,30.85,1.40,0.00,Monounsaturated oils ,"Edible oil composed of a mixture, or blend, of various monounsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant."
468,F006156,14401,"Oil, blend of polyunsaturated vegetable oils",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,14.80,28.35,54.95,3.10,0.00,Polyunsaturated oils ,"Edible oil composed of a mixture, or blend, of various polyunsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant."
469,F006159,14402,"Oil, canola",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,7.63,62.09,29.81,0.00,0.00,Monounsaturated oils ,"Edible oil extracted from the seeds of the canola plant (Brassica napus or Brassica campestris). Although derived from the same plant, canola oil is not rapeseed oil, and it is distinguished by low levels of erucic acid."
470,F006166,14401,"Oil, cottonseed",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,27.09,18.62,54.18,1.40,0.00,Polyunsaturated oils ,Edible oil derived from the seeds of the cotton plant.
471,F006165,14502,"Oil, copha",884.32,0.20,99.90,0.00,0.00,0.00,0.00,1.00,98.20,1.50,0.30,0.00,0.00,Vegetable-based solid fats,Solidified edible oil extracted from the coconut and used in baking.
472,F006167,14401,"Oil, grapeseed",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,11.90,20.90,67.00,2.20,0.00,Polyunsaturated oils ,Edible oil extracted from the seeds of grapes.
473,F006168,14401,"Oil, linseed or flaxseed",884.08,0.00,100.00,0.00,0.00,0.00,0.00,0.00,9.42,19.36,72.06,0.10,0.00,Polyunsaturated oils ,Edible oil extracted from linseeds/flaxseeds.
474,F006172,14402,"Oil, mustard seed",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,12.59,64.33,23.08,1.40,0.00,Monounsaturated oils ,Edible oil extracted from the seeds of the mustard plant (Sinapsis alba and Brassica nigra).
475,F006169,14402,"Oil, macadamia",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,14.20,84.30,1.30,2.20,0.00,Monounsaturated oils ,Edible oil extracted from the macadamia nut (Macadamia integrifolia).
476,F006177,14402,"Oil, olive",883.13,0.00,99.90,0.00,0.00,0.00,0.00,0.00,16.26,73.54,9.55,0.00,0.00,Monounsaturated oils ,"Edible oil pressed from the flesh of the fruit of the olive tree (Olea europaea). Most values are derived from oils produced in Spain or Italy and imported to Australia. Includes various grades of olive oil, such as 'pure' and 'extra virgin'."
477,F006181,14402,"Oil, palm",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,51.57,38.70,9.73,1.50,0.00,Monounsaturated oils ,Edible oil extracted from the oil palm.
478,F006183,14402,"Oil, peanut",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,18.16,52.60,28.64,2.20,0.00,Monounsaturated oils ,Edible oil extracted from the kernel of the peanut (Leguminosae Arachis hypogaea L.).
479,F006185,14402,"Oil, rice bran",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,24.00,41.50,34.30,0.40,0.00,Monounsaturated oils ,Edible oil extracted from the bran of the rice kernel.
480,F006188,14401,"Oil, soybean",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,14.95,23.30,60.85,2.20,0.00,Polyunsaturated oils ,Edible oil extracted from the seeds of the soybean plant (Glycine maximus).
481,F006189,14401,"Oil, sunflower",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,10.63,29.11,59.18,2.20,0.00,Polyunsaturated oils ,Edible oil obtained from the seed of the sunflower plant (Helianthus annuus).
482,F006191,14401,"Oil, vegetable",884.32,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Polyunsaturated oils ,"Edible oil composed of a mixture, or blend, of monounsaturated and polyunsaturated vegetable oils. Oil may contain antioxidant."
483,F003627,14501,"Dripping, beef",885.04,0.20,100.00,0.00,0.00,0.00,0.00,0.00,54.50,38.26,2.60,5.20,90.00,Animal-based solid fats ,"Fat rendered from the meat, muscles and bones of beef."
484,F003817,14502,"Fat, solid, vegetable oil based",884.80,0.20,100.00,0.00,0.00,0.00,0.00,0.00,51.30,38.00,9.00,1.50,0.00,Vegetable-based solid fats,"Solidified edible oil product prepared from a blend of vegetable oils, commonly used for frying. Blend composition may vary."
485,F003729,17101,"Egg, chicken, whole, raw",127.39,12.60,8.50,0.00,0.00,0.30,0.30,150.00,32.58,50.36,16.87,0.10,488.00,"Eggs, chicken ","Edible portion, including yolk and white (albumen), of the egg of chickens. Uncooked."
486,F003721,17101,"Egg, chicken, whole, hard-boiled",137.19,12.40,9.50,0.00,0.00,0.30,0.70,127.00,32.50,50.29,17.04,0.10,488.00,"Eggs, chicken ","Edible portion, including yolk and white (albumen), of the egg of chickens, boiled in unsalted water for 5-10 minutes until both yolk and white are firm."
487,F003725,17101,"Egg, chicken, whole, poached",132.89,13.10,8.90,0.00,0.00,0.30,0.30,156.00,0.00,0.00,0.00,0.00,508.00,"Eggs, chicken ","Edible portion, including yolk and white (albumen), of the egg of chickens, simmered in acidified water for 3-5 minutes, then drained."
488,F003718,17101,"Egg, chicken, whole, fried, no fat added",144.84,14.30,9.70,0.00,0.00,0.30,0.30,170.00,0.00,0.00,0.00,0.00,555.00,"Eggs, chicken ","Edible portion, including yolk and white (albumen), of the egg of chickens, fried without added fat, until the yolk is set."
489,F003724,17102,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",133.13,12.40,9.20,0.00,0.00,0.30,0.30,120.00,32.02,46.98,20.58,0.20,340.00,"Eggs, chicken, modified (e.g. Omega-3, folate)","Edible portion, including both yolk and white (albumen), of the egg of chickens fed a specific diet to increase the level of omega-3 polyunsaturated fatty acids. Actual levels of polyunsaturated fatty acids may vary depending on the chickens diet. Uncooked."
490,F003723,17102,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",135.76,12.70,9.40,0.00,0.00,0.30,0.30,122.00,0.00,0.00,0.00,0.00,347.00,"Eggs, chicken, modified (e.g. Omega-3, folate)","Edible portion, including both yolk and white (albumen), of the egg of chickens fed a specific diet to increase the level of omega-3 polyunsaturated fatty acids. Actual levels of polyunsaturated fatty acids may vary depending on the chickens diet. Boiled in water until both yolk and albumen are set."
